sta_station_no,sta_year,sta_month,sta_dd,sta_hh,Count
3,2017,8,25,5,0
3,2017,8,25,6,0
3,2017,8,25,7,0
3,2017,8,25,8,1
3,2017,8,25,9,0
3,2017,8,25,10,0
3,2017,8,25,11,0
3,2017,8,25,12,3
3,2017,8,25,13,0
3,2017,8,25,14,0
3,2017,8,25,15,0
3,2017,8,25,16,0
3,2017,8,25,17,0
3,2017,8,25,18,8
3,2017,8,25,19,5
3,2017,8,25,20,12
3,2017,8,25,21,8
3,2017,8,25,22,10
3,2017,8,25,23,13
3,2017,8,28,5,0
3,2017,8,28,6,0
3,2017,8,28,7,0
3,2017,8,28,8,0
3,2017,8,28,9,0
3,2017,8,28,10,0
3,2017,8,28,11,0
3,2017,8,28,12,0
3,2017,8,28,13,2
3,2017,8,28,14,2
3,2017,8,28,15,2
3,2017,8,28,16,1
3,2017,8,28,17,2
3,2017,8,28,18,3
3,2017,8,28,19,4
3,2017,8,28,20,1
3,2017,8,28,21,1
3,2017,8,28,22,0
3,2017,8,29,23,1
3,2017,8,29,5,0
3,2017,8,29,6,0
3,2017,8,29,7,0
3,2017,8,29,8,0
3,2017,8,29,9,0
3,2017,8,29,10,1
3,2017,8,29,11,1
3,2017,8,29,12,3
3,2017,8,29,13,2
3,2017,8,29,14,6
3,2017,8,29,15,4
3,2017,8,29,16,1
3,2017,8,29,17,17
3,2017,8,29,18,11
3,2017,8,29,19,11
3,2017,8,29,20,11
3,2017,8,29,21,14
3,2017,8,29,22,8
3,2017,8,29,23,14
3,2017,8,30,5,0
3,2017,8,30,6,0
3,2017,8,30,7,0
3,2017,8,30,8,0
3,2017,8,30,9,0
3,2017,8,30,10,0
3,2017,8,30,11,0
3,2017,8,30,12,1
3,2017,8,30,13,0
3,2017,8,30,14,0
3,2017,8,30,15,0
3,2017,8,30,16,1
3,2017,8,30,17,9
3,2017,8,30,18,3
3,2017,8,30,19,13
3,2017,8,30,20,9
3,2017,8,30,21,10
3,2017,8,30,22,12
3,2017,8,30,23,6
3,2017,8,31,5,0
3,2017,8,31,6,0
3,2017,8,31,7,0
3,2017,8,31,8,0
3,2017,8,31,9,4
3,2017,8,31,10,0
3,2017,8,31,11,1
3,2017,8,31,12,0
3,2017,8,31,13,2
3,2017,8,31,14,6
3,2017,8,31,15,4
3,2017,8,31,16,4
3,2017,8,31,17,7
3,2017,8,31,18,6
3,2017,8,31,19,7
3,2017,8,31,20,15
3,2017,8,31,21,11
3,2017,8,31,22,14
3,2017,8,31,23,3
3,2017,9,1,5,0
3,2017,9,1,6,0
3,2017,9,1,7,0
3,2017,9,1,8,0
3,2017,9,1,9,0
3,2017,9,1,10,0
3,2017,9,1,11,0
3,2017,9,1,12,3
3,2017,9,1,13,1
3,2017,9,1,14,2
3,2017,9,1,15,2
3,2017,9,1,16,0
3,2017,9,1,17,0
3,2017,9,1,18,3
3,2017,9,1,19,10
3,2017,9,1,20,12
3,2017,9,1,21,11
3,2017,9,1,22,11
3,2017,9,1,23,10
3,2017,9,4,5,2
3,2017,9,4,6,0
3,2017,9,4,7,0
3,2017,9,4,8,1
3,2017,9,4,9,0
3,2017,9,4,10,0
3,2017,9,4,11,2
3,2017,9,4,12,1
3,2017,9,4,13,0
3,2017,9,4,14,0
3,2017,9,4,15,6
3,2017,9,4,16,3
3,2017,9,4,17,7
3,2017,9,4,18,9
3,2017,9,4,19,5
3,2017,9,4,20,22
3,2017,9,4,21,10
3,2017,9,4,22,15
3,2017,9,4,23,11
3,2017,9,5,5,0
3,2017,9,5,6,0
3,2017,9,5,7,0
3,2017,9,5,8,0
3,2017,9,5,9,0
3,2017,9,5,10,1
3,2017,9,5,11,0
3,2017,9,5,12,2
3,2017,9,5,13,0
3,2017,9,5,14,2
3,2017,9,5,15,0
3,2017,9,5,16,4
3,2017,9,5,17,2
3,2017,9,5,18,3
3,2017,9,5,19,4
3,2017,9,5,20,0
3,2017,9,5,21,0
3,2017,9,5,22,0
3,2017,9,5,23,0
3,2017,9,6,5,0
3,2017,9,6,6,0
3,2017,9,6,7,0
3,2017,9,6,8,1
3,2017,9,6,9,2
3,2017,9,6,10,0
3,2017,9,6,11,1
3,2017,9,6,12,2
3,2017,9,6,13,1
3,2017,9,6,14,2
3,2017,9,6,15,0
3,2017,9,6,16,3
3,2017,9,6,17,1
3,2017,9,6,18,0
3,2017,9,6,19,4
3,2017,9,6,20,2
3,2017,9,6,21,2
3,2017,9,6,22,0
3,2017,9,6,23,0
3,2017,9,7,5,0
3,2017,9,7,6,0
3,2017,9,7,7,0
3,2017,9,7,8,2
3,2017,9,7,9,0
3,2017,9,7,10,0
3,2017,9,7,11,1
3,2017,9,7,12,0
3,2017,9,7,13,0
3,2017,9,7,14,0
3,2017,9,7,15,1
3,2017,9,7,16,3
3,2017,9,7,17,1
3,2017,9,7,18,10
3,2017,9,7,19,8
3,2017,9,7,20,13
3,2017,9,7,21,5
3,2017,9,7,22,7
3,2017,9,7,23,0
3,2017,9,8,5,0
3,2017,9,8,6,0
3,2017,9,8,7,0
3,2017,9,8,8,0
3,2017,9,8,9,1
3,2017,9,8,10,1
3,2017,9,8,11,1
3,2017,9,8,12,0
3,2017,9,8,13,3
3,2017,9,8,14,5
3,2017,9,8,15,1
3,2017,9,8,16,13
3,2017,9,8,17,6
3,2017,9,8,18,2
3,2017,9,8,19,7
3,2017,9,8,20,18
3,2017,9,8,21,17
3,2017,9,8,22,19
3,2017,9,8,23,6
3,2017,9,11,5,0
3,2017,9,11,6,0
3,2017,9,11,7,0
3,2017,9,11,8,0
3,2017,9,11,9,0
3,2017,9,11,10,0
3,2017,9,11,11,0
3,2017,9,11,12,0
3,2017,9,11,13,0
3,2017,9,11,14,3
3,2017,9,11,15,0
3,2017,9,11,16,0
3,2017,9,11,17,1
3,2017,9,11,18,1
3,2017,9,11,19,3
3,2017,9,11,20,4
3,2017,9,11,21,10
3,2017,9,11,22,13
3,2017,9,11,23,3
3,2017,9,12,5,0
3,2017,9,12,6,0
3,2017,9,12,7,4
3,2017,9,12,8,3
3,2017,9,12,9,3
3,2017,9,12,10,2
3,2017,9,12,11,3
3,2017,9,12,12,1
3,2017,9,12,13,5
3,2017,9,12,14,0
3,2017,9,12,15,0
3,2017,9,12,16,4
3,2017,9,12,17,3
3,2017,9,12,18,4
3,2017,9,12,19,4
3,2017,9,12,20,2
3,2017,9,12,21,14
3,2017,9,12,22,2
3,2017,9,12,23,0
3,2017,9,13,5,0
3,2017,9,13,6,0
3,2017,9,13,7,0
3,2017,9,13,8,0
3,2017,9,13,9,0
3,2017,9,13,10,3
3,2017,9,13,11,0
3,2017,9,13,12,0
3,2017,9,13,13,1
3,2017,9,13,14,1
3,2017,9,13,15,4
3,2017,9,13,16,0
3,2017,9,13,17,3
3,2017,9,13,18,4
3,2017,9,13,19,6
3,2017,9,13,20,12
3,2017,9,13,21,11
3,2017,9,13,22,11
3,2017,9,13,23,3
3,2017,9,14,5,0
3,2017,9,14,6,0
3,2017,9,14,7,0
3,2017,9,14,8,0
3,2017,9,14,9,0
3,2017,9,14,10,1
3,2017,9,14,11,1
3,2017,9,14,12,1
3,2017,9,14,13,1
3,2017,9,14,14,1
3,2017,9,14,15,0
3,2017,9,14,16,0
3,2017,9,14,17,0
3,2017,9,14,18,9
3,2017,9,14,19,3
3,2017,9,14,20,12
3,2017,9,14,21,13
3,2017,9,14,22,5
3,2017,9,14,23,3
3,2017,9,15,5,0
3,2017,9,15,6,0
3,2017,9,15,7,0
3,2017,9,15,8,0
3,2017,9,15,9,0
3,2017,9,15,10,1
3,2017,9,15,11,0
3,2017,9,15,12,3
3,2017,9,15,13,1
3,2017,9,15,14,8
3,2017,9,15,15,0
3,2017,9,15,16,6
3,2017,9,15,17,8
3,2017,9,15,18,8
3,2017,9,15,19,3
3,2017,9,15,20,10
3,2017,9,15,21,8
3,2017,9,15,22,12
3,2017,9,15,23,0
3,2017,9,18,5,0
3,2017,9,18,6,0
3,2017,9,18,7,0
3,2017,9,18,8,0
3,2017,9,18,9,0
3,2017,9,18,10,2
3,2017,9,18,11,0
3,2017,9,18,12,1
3,2017,9,18,13,0
3,2017,9,18,14,0
3,2017,9,18,15,5
3,2017,9,18,16,1
3,2017,9,18,17,6
3,2017,9,18,18,9
3,2017,9,18,19,2
3,2017,9,18,20,10
3,2017,9,18,21,8
3,2017,9,18,22,9
3,2017,9,18,23,3
3,2017,9,19,5,0
3,2017,9,19,6,0
3,2017,9,19,7,0
3,2017,9,19,8,1
3,2017,9,19,9,1
3,2017,9,19,10,2
3,2017,9,19,11,1
3,2017,9,19,12,0
3,2017,9,19,13,1
3,2017,9,19,14,0
3,2017,9,19,15,2
3,2017,9,19,16,1
3,2017,9,19,17,3
3,2017,9,19,18,2
3,2017,9,19,19,5
3,2017,9,19,20,4
3,2017,9,19,21,10
3,2017,9,19,22,23
3,2017,9,19,23,3
3,2017,9,20,5,0
3,2017,9,20,6,0
3,2017,9,20,7,0
3,2017,9,20,8,0
3,2017,9,20,9,0
3,2017,9,20,10,0
3,2017,9,20,11,1
3,2017,9,20,12,0
3,2017,9,20,13,6
3,2017,9,20,14,0
3,2017,9,20,15,6
3,2017,9,20,16,2
3,2017,9,20,17,10
3,2017,9,20,18,13
3,2017,9,20,19,15
3,2017,9,20,20,16
3,2017,9,20,21,8
3,2017,9,20,22,7
3,2017,9,20,23,1
3,2017,9,21,5,0
3,2017,9,21,6,0
3,2017,9,21,7,0
3,2017,9,21,8,0
3,2017,9,21,9,1
3,2017,9,21,10,4
3,2017,9,21,11,1
3,2017,9,21,12,2
3,2017,9,21,13,0
3,2017,9,21,14,1
3,2017,9,21,15,2
3,2017,9,21,16,9
3,2017,9,21,17,8
3,2017,9,21,18,6
3,2017,9,21,19,5
3,2017,9,21,20,10
3,2017,9,21,21,7
