station_no,lat,lng,gu,usage,nh3,co,no2,voc,pm10,time_type
1,36.37458,127.38613,yuseong-gu,390,0.18373,2.26156,2.34299,25.24079,27.65259,4
2,36.37439,127.39238,yuseong-gu,262,0.16315,1.92504,2.24045,25.12881,28.18935,4
4,36.36794,127.3793,seo-gu,481,0.13503,1.58836,2.09593,14.3876,161.33904,4
5,36.36497,127.38886,seo-gu,257,0.23422,2.37877,2.32758,13.74937,9.38542,4
6,36.36232,127.37643,seo-gu,257,0.21039,2.47446,2.08087,22.71981,60.67634,4
7,36.36205,127.3797,seo-gu,283,0.21079,2.45066,2.45006,22.77432,76.40854,4
8,36.36195,127.39043,seo-gu,553,0.21459,2.18121,2.31336,16.6743,43.53597,4
9,36.36166,127.37418,seo-gu,222,0.23209,2.73408,2.00844,26.06381,12.56263,4
10,36.36863,127.37975,seo-gu,380,0.13503,1.58836,2.09593,14.3876,161.33904,4
11,36.35881,127.37416,seo-gu,191,0.17235,2.00844,1.89814,19.87351,81.19354,4
12,36.35793,127.38155,seo-gu,611,0.16095,1.88156,2.64935,19.99731,561.71451,4
13,36.35881,127.39541,seo-gu,262,0.18538,2.26855,2.81859,19.24918,29.9528,4
14,36.35553,127.37915,seo-gu,652,0.16913,1.94362,2.3667,16.49102,350.71008,4
15,36.35542,127.39008,seo-gu,445,0.15362,1.85541,2.14208,16.49565,79.16388,4
16,36.35384,127.39524,seo-gu,354,0.15229,1.69691,2.26055,7.4167,87.24611,4
17,36.35208,127.37876,seo-gu,927,0.21082,2.23503,2.13158,14.71489,97.72649,4
18,36.35111,127.38457,seo-gu,596,0.18013,2.01204,2.1438,19.0871,37.17501,4
19,36.35136,127.38755,seo-gu,771,0.17307,1.91637,1.9463,16.35141,37.39798,4
20,36.35111,127.39175,seo-gu,273,0.14793,1.70626,1.97548,12.59405,64.72273,4
23,36.36617,127.3639,yuseong-gu,304,0.27474,2.49264,1.48081,21.59597,219.10808,4
26,36.37693,127.37875,yuseong-gu,206,0.16097,1.82497,2.02925,27.80722,218.50832,4
27,36.37715,127.37938,yuseong-gu,192,0.16097,1.82497,2.02925,27.80722,218.50832,4
29,36.36751,127.37516,seo-gu,434,0.13739,1.74316,2.38505,16.43289,397.80151,4
30,36.36197,127.37923,seo-gu,707,0.21079,2.45066,2.45006,22.77432,76.40854,4
