no,lat,lng,gu,total_use,rate1,rate2
1,36.374581,127.386131,yuseong-gu,390,0.770393512,3
2,36.3743899,127.392375,yuseong-gu,262,0.849860322,3
3,36.369084,127.388451,seo-gu,1320,0.233183284,1
4,36.367945,127.379302,seo-gu,481,0.849860322,3
5,36.364974,127.388856,seo-gu,257,0.529402033,2
6,36.362315,127.376427,seo-gu,257,0.09294703,1
7,36.3620533,127.379704,seo-gu,283,0.194928335,1
8,36.3619496,127.390433,seo-gu,553,0.427804957,2
9,36.3616559,127.374179,seo-gu,222,0.389983165,2
10,36.3686322,127.379747,seo-gu,380,0.849860322,3
11,36.358811,127.374157,seo-gu,191,0.801271672,3
12,36.357932,127.381551,seo-gu,611,0.291636696,1
13,36.358811,127.395412,seo-gu,262,0.371482538,2
14,36.3555343,127.379146,seo-gu,652,0.226968595,1
15,36.355418,127.390085,seo-gu,445,0.256751796,1
16,36.3538364,127.395241,seo-gu,354,0.522794922,2
17,36.352078,127.378761,seo-gu,927,0.237815312,1
18,36.3511059,127.384575,seo-gu,596,0.489889461,2
19,36.3513565,127.387547,seo-gu,771,0.802552219,3
20,36.3511146,127.391753,seo-gu,273,0.551036485,2
21,36.373569,127.359803,yuseong-gu,812,0.627977292,2
22,36.370226,127.362151,yuseong-gu,388,0.289475871,1
23,36.366171,127.363896,yuseong-gu,304,0.748248939,3
24,36.376811,127.371004,yuseong-gu,151,0.297551527,1
25,36.374511,127.366894,yuseong-gu,211,0.258568009,1
26,36.376931,127.378751,yuseong-gu,206,0.294751316,1
27,36.377146,127.379383,yuseong-gu,192,0.248645449,1
28,36.377927,127.390637,yuseong-gu,131,0.232074993,1
29,36.367511,127.375161,seo-gu,434,0.081517343,1
30,36.361967,127.379233,seo-gu,707,0.963831835,3
31,36.361773,127.357485,yuseong-gu,858,0.658646909,2
32,36.359293,127.354503,yuseong-gu,819,0.13975636,1
33,36.358494,127.361197,seo-gu,900,0.335309275,2
34,36.358209,127.366138,seo-gu,228,0.167358497,1
35,36.357581,127.372055,seo-gu,397,0.211324377,1
36,36.357513,127.396525,seo-gu,219,0.787655122,3
37,36.357915,127.397638,seo-gu,149,0.749642746,3
38,36.354558,127.354791,seo-gu,150,0.461976304,2
39,36.351205,127.351928,seo-gu,54,0.619598629,2
40,36.352793,127.356048,seo-gu,82,0.635084895,2
41,36.353733,127.361847,seo-gu,105,0.12059677,1
42,36.353422,127.367895,seo-gu,247,0.36012808,2
43,36.353331,127.374415,seo-gu,681,0.189683716,1
44,36.354493,127.382811,seo-gu,386,0.666062681,2
45,36.351371,127.398314,seo-gu,395,0.067980135,1
46,36.347563,127.377248,seo-gu,524,0.688343327,2
47,36.348453,127.382779,seo-gu,390,0.064883978,1
48,36.346511,127.385134,seo-gu,529,0.883469286,3
49,36.347211,127.390034,seo-gu,346,0.951419574,3
50,36.346811,127.393432,seo-gu,374,0.423008023,2
51,36.348611,127.398681,seo-gu,421,0.324442233,2
52,36.343476,127.381142,seo-gu,183,0.279283891,1
53,36.343363,127.383461,seo-gu,203,0.207014019,1
54,36.365025,127.338651,yuseong-gu,528,0.72328513,3
55,36.362446,127.344131,yuseong-gu,813,0.72328513,3
56,36.361736,127.344994,yuseong-gu,1136,0.24629018,1
57,36.357928,127.342792,yuseong-gu,580,0.72328513,3
58,36.356429,127.331122,yuseong-gu,114,0.492900317,2
59,36.354262,127.341502,yuseong-gu,620,0.552543706,2
60,36.353211,127.341132,yuseong-gu,576,0.923314377,3
61,36.352131,127.346011,yuseong-gu,219,0.042892984,1
62,36.350259,127.340585,yuseong-gu,194,0.373196191,2
63,36.348384,127.335775,yuseong-gu,185,0.390092722,2
64,36.348281,127.330728,yuseong-gu,174,0.123406714,1
65,36.348769,127.344396,yuseong-gu,11,0.555230429,2
66,36.345705,127.340362,yuseong-gu,278,0.061346148,1
67,36.344908,127.335572,yuseong-gu,176,0.414359557,2
68,36.341868,127.344879,yuseong-gu,379,0.702993565,3
69,36.342793,127.337476,yuseong-gu,135,0.336784374,2
70,36.338048,127.338356,yuseong-gu,228,0.422596369,2
71,36.371474,127.428588,daedeog-gu,135,0.07852653,1
72,36.370172,127.429358,daedeog-gu,22,0.568863716,2
73,36.367406,127.429736,daedeog-gu,98,0.084778135,1
74,36.366678,127.426067,daedeog-gu,95,0.436912422,2
75,36.366524,127.430356,daedeog-gu,50,0.709585323,3
76,36.367665,127.436364,daedeog-gu,83,0.437411952,2
77,36.368361,127.440312,daedeog-gu,79,0.957993819,3
78,36.363177,127.431284,daedeog-gu,57,0.214886714,1
79,36.362011,127.435541,daedeog-gu,41,0.481589205,2
80,36.362853,127.438697,daedeog-gu,80,0.06594784,1
81,36.364663,127.440966,daedeog-gu,114,0.088824277,1
82,36.366036,127.444872,daedeog-gu,151,0.20311038,1
83,36.330654,127.398255,jung-gu,147,0.759783567,3
84,36.326242,127.392813,jung-gu,64,0.085538758,1
85,36.326129,127.396967,jung-gu,74,0.504054,2
86,36.323268,127.393631,jung-gu,194,0.112391122,1
87,36.322555,127.397451,jung-gu,138,0.559523842,2
88,36.321427,127.394006,jung-gu,54,0.432464456,2
89,36.319781,127.392413,jung-gu,124,0.545175208,2
90,36.316016,127.387403,jung-gu,192,0.146735006,1
91,36.316915,127.392467,jung-gu,63,0.257755612,1
92,36.317911,127.394698,jung-gu,85,0.94917502,3
93,36.318941,127.400393,jung-gu,97,0.811813866,3
94,36.316962,127.454608,dong-gu,45,0.870484315,3
95,36.316915,127.459173,dong-gu,133,0.005013762,1
96,36.317217,127.459051,dong-gu,100,0.97192509,3
97,36.310388,127.455611,dong-gu,123,0.096797239,1
98,36.305423,127.454544,dong-gu,84,0.176277135,1
99,36.306694,127.456829,dong-gu,62,0.780641673,3
100,36.306988,127.457129,dong-gu,40,0.809164671,3
101,36.310061,127.461458,dong-gu,26,0.070170175,1
102,36.303717,127.457698,dong-gu,4,0.206977622,1
103,36.302116,127.459836,dong-gu,19,0.994110776,3
104,36.375206,127.378122,yuseong-gu,193,0.203834559,1
105,36.364177,127.358845,yuseong-gu,505,0.598168928,2
106,36.367989,127.356852,yuseong-gu,438,0.474439681,2
107,36.370768,127.366645,yuseong-gu,461,0.110147025,1
108,36.331955,127.337932,yuseong-gu,664,0.159508231,1
109,36.342378,127.387671,seo-gu,402,0.618514913,2
110,36.337569,127.392091,seo-gu,521,0.47143398,2
111,36.335726,127.396603,seo-gu,211,0.743892932,3
112,36.331931,127.385353,seo-gu,224,0.980989431,3
113,36.328511,127.388001,seo-gu,135,0.708971053,3
114,36.329742,127.396777,jung-gu,41,0.824310874,3
115,36.357491,127.434317,dong-gu,86,0.314671984,2
116,36.355236,127.436793,dong-gu,153,0.451290593,2
117,36.350657,127.440408,dong-gu,201,0.357995197,2
118,36.348576,127.435076,dong-gu,201,0.529553327,2
119,36.349521,127.432759,dong-gu,81,0.096102723,1
120,36.353089,127.432191,dong-gu,102,0.399243039,2
121,36.347143,127.431512,dong-gu,157,0.632902514,2
122,36.358528,127.423682,daedeog-gu,377,0.062552706,1
123,36.446311,127.406676,daedeog-gu,27,0.504762125,2
124,36.448472,127.412412,daedeog-gu,51,0.822730101,3
125,36.449253,127.420131,daedeog-gu,25,0.831434617,3
126,36.451985,127.428871,daedeog-gu,34,0.468538526,2
127,36.448623,127.429218,daedeog-gu,31,0.611308703,2
128,36.443026,127.429476,daedeog-gu,1,0.120523016,1
129,36.448584,127.435822,daedeog-gu,18,0.345281273,2
130,36.453831,127.436653,daedeog-gu,22,0.913617656,3
131,36.448772,127.444365,daedeog-gu,19,0.850516093,3
132,36.449611,127.456706,daedeog-gu,21,0.610905729,2
133,36.328727,127.405846,jung-gu,230,0.194598172,1
134,36.326058,127.407828,jung-gu,112,0.601300471,2
135,36.320688,127.405947,jung-gu,273,0.78551566,3
136,36.325652,127.420844,jung-gu,183,0.149168131,1
137,36.318381,127.411655,jung-gu,70,0.916526489,3
138,36.316476,127.407345,jung-gu,71,0.266816417,1
139,36.322248,127.411462,jung-gu,331,0.591895111,2
140,36.327591,127.420855,jung-gu,157,0.843167546,3
141,36.330883,127.419077,jung-gu,29,0.491681564,2
142,36.331535,127.422493,jung-gu,188,0.394824829,2
143,36.327826,127.426281,jung-gu,408,0.954505075,3
144,36.387986,127.409048,yuseong-gu,87,0.929007205,3
145,36.349006,127.347529,yuseong-gu,120,0.972030918,3
146,36.311886,127.346868,seo-gu,91,0.851493402,3
147,36.316311,127.345216,seo-gu,63,0.299521211,1
148,36.348233,127.344519,yuseong-gu,195,0.0771518,1
149,36.345711,127.338892,yuseong-gu,158,0.259040665,1
150,36.312414,127.349936,seo-gu,119,0.844590235,3
151,36.337017,127.447794,dong-gu,426,0.467842925,2
152,36.332221,127.432054,dong-gu,341,0.49544808,2
153,36.329613,127.442446,dong-gu,356,0.908240155,3
154,36.347978,127.416389,daedeog-gu,242,0.461287057,2
155,36.358455,127.411245,daedeog-gu,182,0.862470758,3
156,36.335961,127.414904,jung-gu,139,0.070784224,1
157,36.340677,127.410626,jung-gu,168,0.361499511,2
158,36.383768,127.367154,yuseong-gu,247,0.586984484,2
159,36.385478,127.376913,yuseong-gu,261,0.353315086,2
160,36.385521,127.353928,yuseong-gu,333,0.426658119,2
161,36.384711,127.348674,yuseong-gu,136,0.859950895,3
162,36.431581,127.387341,yuseong-gu,61,0.793765823,3
163,36.433066,127.384111,yuseong-gu,60,0.857306249,3
164,36.427714,127.387394,yuseong-gu,55,0.764381399,3
165,36.421911,127.387591,yuseong-gu,105,0.58181608,2
166,36.321929,127.437948,dong-gu,83,0.94456912,3
167,36.326922,127.434912,dong-gu,152,0.38342141,2
168,36.341011,127.435647,dong-gu,138,0.56531525,2
169,36.336377,127.430264,dong-gu,106,0.525840534,2
170,36.322841,127.424127,jung-gu,105,0.014676378,1
171,36.323611,127.428648,jung-gu,100,0.233139401,1
172,36.313281,127.434005,jung-gu,108,0.715902066,3
173,36.357935,127.377081,seo-gu,226,0.588292867,2
174,36.304949,127.352992,seo-gu,259,0.311226429,2
175,36.302355,127.339827,seo-gu,173,0.612237729,2
176,36.299311,127.334978,seo-gu,129,0.36104257,2
177,36.303811,127.337174,seo-gu,103,0.210847229,1
178,36.374368,127.317981,yuseong-gu,520,0.208767877,1
179,36.391242,127.314932,yuseong-gu,379,0.458087029,2
180,36.399535,127.401538,yuseong-gu,142,0.89325836,3
181,36.396557,127.404773,yuseong-gu,142,0.251597587,1
182,36.349941,127.297135,yuseong-gu,478,0.326146339,2
183,36.359526,127.320935,yuseong-gu,49,0.864495416,3
184,36.352567,127.415543,daedeog-gu,32,0.199058121,1
185,36.355131,127.446021,daedeog-gu,142,0.14768832,1
186,36.368911,127.388403,seo-gu,1058,0.642524809,2
187,36.344262,127.347305,yuseong-gu,157,0.635696727,2
188,36.298766,127.329552,seo-gu,83,0.481617514,2
189,36.299757,127.320351,yuseong-gu,214,0.70445355,3
190,36.303758,127.318463,yuseong-gu,57,0.732207794,3
191,36.321234,127.444964,dong-gu,81,0.914769711,3
192,36.317631,127.425722,jung-gu,73,0.299048066,1
193,36.309688,127.441991,jung-gu,52,0.463927238,2
194,36.304773,127.449311,jung-gu,36,0.682343001,2
195,36.310181,127.408276,jung-gu,318,0.078238211,1
196,36.374111,127.420302,daedeog-gu,64,0.680911338,2
197,36.320184,127.377671,seo-gu,201,0.74871638,3
198,36.313811,127.379636,seo-gu,154,0.574794036,2
199,36.368231,127.318006,yuseong-gu,230,0.684556165,2
200,36.383723,127.320175,yuseong-gu,338,0.847961188,3
201,36.386848,127.308372,yuseong-gu,119,0.982897137,3
202,36.320531,127.344013,seo-gu,146,0.721887004,3
203,36.368808,127.336889,yuseong-gu,347,0.93347502,3
204,36.285012,127.465722,dong-gu,59,0.69897168,2
205,36.294851,127.460853,dong-gu,22,0.725476383,3
206,36.335207,127.456495,dong-gu,227,0.505835179,2
207,36.343527,127.442254,dong-gu,116,0.872279997,3
208,36.378989,127.426781,daedeog-gu,36,0.078866364,1
209,36.374369,127.428083,daedeog-gu,20,0.287862552,1
210,36.378451,127.421321,daedeog-gu,32,0.073069323,1
211,36.447408,127.426423,daedeog-gu,7,0.944251397,3
212,36.444066,127.425524,daedeog-gu,21,0.574490761,2
213,36.387805,127.321661,yuseong-gu,228,0.893919144,3
214,36.395311,127.309877,yuseong-gu,39,0.155177182,1
215,36.379658,127.317772,yuseong-gu,69,0.119463139,1
216,36.306382,127.341676,seo-gu,234,0.169057632,1
217,36.300538,127.378891,seo-gu,250,0.417733134,2
218,36.318191,127.416971,jung-gu,96,0.088571551,1
219,36.313091,127.399431,jung-gu,45,0.71014321,3
220,36.309576,127.388099,jung-gu,110,0.629000844,2
221,36.349121,127.368355,seo-gu,79,0.495173188,2
222,36.344257,127.368008,seo-gu,225,0.532790059,2
223,36.353415,127.454012,daedeog-gu,91,0.50092402,2
224,36.307341,127.364028,seo-gu,134,0.942112933,3
225,36.348927,127.451465,dong-gu,273,0.931698598,3
226,36.312711,127.319812,yuseong-gu,72,0.737299689,3
